Fri Jan 20 16:34:04 2023    profiling/profile.dat

         5924224 function calls (5841639 primitive calls) in 26.705 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    11730    0.315    0.000    0.315    0.000 {method 'softmax' of 'torch._C._TensorBase' objects}
    11730    0.007    0.000    0.007    0.000 {built-in method torch._C._are_functorch_transforms_active}
    11730    0.042    0.000    8.904    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/_tensor.py:429(backward)
    11730    0.003    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/_collections_abc.py:315(__subclasshook__)
    11730    0.205    0.000    8.252    0.001 /Users/alejandranavarrocastillo/Documents/GitHub/dtu_mlops_s2_cookiecutter/src/models/model.py:18(forward)
    11730    0.020    0.000    0.339    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/functional.py:1811(softmax)
    11730    0.027    0.000    0.148    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/functional.py:2637(nll_loss)
    11730    0.007    0.000    0.007    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/_reduction.py:7(get_enum)
    11730    0.055    0.000    0.135    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/autograd/__init__.py:47(_make_grads)
    11730    0.008    0.000    0.008    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/autograd/__init__.py:95(_tensor_or_tensors_to_tuple)
    11730    0.061    0.000    8.860    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/autograd/__init__.py:103(backward)
    11730    0.012    0.000    1.493    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/activation.py:293(forward)
    11730    0.027    0.000    0.186    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/loss.py:215(forward)
    11730    0.015    0.000    0.354    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/nn/modules/activation.py:1389(forward)
    11730    0.059    0.000    1.112    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:19(_use_grad)
    11730    0.003    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:117(_optimizer_step_code)
    11730    0.119    0.000    1.634    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:135(wrapper)
    11730    0.169    0.000    0.796    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/optimizer.py:246(zero_grad)
    11730    0.192    0.000    1.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/sgd.py:119(step)
    11730    0.015    0.000    0.759    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/sgd.py:171(sgd)
    11730    0.081    0.000    0.743    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/optim/sgd.py:213(_single_tensor_sgd)
    11730    0.002    0.000    0.002    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/worker.py:83(get_worker_info)
    11730    0.018    0.000    3.770    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:143(<listcomp>)
    11730    0.025    0.000    0.775    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:154(collate_tensor_fn)
    11730    0.225    0.000    2.145    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:172(<listcomp>)
    11730    0.499    0.000    3.443    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:166(collate_numpy_array_fn)
    11730    0.007    0.000    0.266    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:175(collate_numpy_scalar_fn)
    11730    0.016    0.000    4.293    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/collate.py:204(default_collate)
    11730    0.169    0.000    0.678    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:58(<listcomp>)
    11730    0.028    0.000    5.004    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/utils/data/_utils/fetch.py:53(fetch)
     3240    0.002    0.000    0.004    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/serialization.py:584(persistent_id)
     3120    0.000    0.000    0.000    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/__init__.py:317(is_storage)
     1191    0.000    0.000    0.000    0.000 {built-in method builtins.max}
     1188    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      608    0.040    0.000    0.040    0.000 {built-in method zlib.crc32}
      608    0.001    0.000    0.231    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:900(read)
      606    0.001    0.000    0.232    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/numpy/lib/format.py:943(_read_bytes)
      604    0.178    0.000    0.178    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      604    0.000    0.000    0.040    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:935(_update_crc)
      604    0.007    0.000    0.230    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:982(_read1)
      604    0.001    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/zipfile.py:1018(_read2)
      602    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
      602    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
      600    0.001    0.000    0.001    0.000 {built-in method numpy.frombuffer}
      598    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
      597    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
